symbol,cname,series,list_date,paid_up_value,market_lot,isin,face_value,calculated
BALAMINES,Balaji Amines Limited,EQ,05-APR-2007,2,1,INE050E01027,2,BALAMINES.NS
BALAXI,Balaxi Ventures Limited,BE,30-NOV-2015,10,1,INE618N01014,10,BALAXI.NS
BALKRISHNA,Balkrishna Paper Mills Limited,EQ,28-JUL-2015,10,1,INE875R01011,10,BALKRISHNA.NS
BALKRISIND,Balkrishna Industries Limited,EQ,27-JAN-2006,2,1,INE787D01026,2,BALKRISIND.NS
BALLARPUR,Ballarpur Industries Limited,EQ,31-MAR-2008,2,1,INE294A01037,2,BALLARPUR.NS
BALMLAWRIE,Balmer Lawrie & Company Limited,EQ,06-JUL-1995,10,1,INE164A01016,10,BALMLAWRIE.NS
BALPHARMA,Bal Pharma Limited,BE,08-MAY-2006,10,1,INE083D01012,10,BALPHARMA.NS
BALRAMCHIN,Balrampur Chini Mills Limited,EQ,08-FEB-1995,1,1,INE119A01028,1,BALRAMCHIN.NS
BANARBEADS,Banaras Beads Limited,EQ,07-JUL-1995,10,100,INE655B01011,10,BANARBEADS.NS
BANARISUG,Bannari Amman Sugars Limited,EQ,28-MAY-2003,10,1,INE459A01010,10,BANARISUG.NS
BANCOINDIA,Banco Products (I) Limited,EQ,22-DEC-2006,2,1,INE213C01025,2,BANCOINDIA.NS
BANDHANBNK,Bandhan Bank Limited,EQ,27-MAR-2018,10,1,INE545U01014,10,BANDHANBNK.NS
BANG,Bang Overseas Limited,EQ,20-FEB-2008,10,1,INE863I01016,10,BANG.NS
BANKBARODA,Bank of Baroda,EQ,19-FEB-1997,2,1,INE028A01039,2,BANKBARODA.NS
BANKINDIA,Bank of India,EQ,30-APR-1997,10,1,INE084A01016,10,BANKINDIA.NS
BANSWRAS,Banswara Syntex Limited,EQ,11-APR-2007,10,1,INE629D01012,10,BANSWRAS.NS
BARTRONICS,Bartronics India Limited,BZ,12-JAN-2006,10,1,INE855F01034,10,BARTRONICS.NS
BASF,BASF India Limited,EQ,17-MAY-1995,10,1,INE373A01013,10,BASF.NS
BASML,Bannari Amman Spinning Mills Limited,EQ,14-NOV-2005,10,1,INE186H01014,10,BASML.NS
BATAINDIA,Bata India Limited,EQ,18-JUN-2003,5,1,INE176A01028,5,BATAINDIA.NS
BAYERCROP,Bayer Cropscience Limited,EQ,08-JAN-2010,10,1,INE462A01022,10,BAYERCROP.NS
BBL,Bharat Bijlee Limited,EQ,21-NOV-2006,10,1,INE464A01028,10,BBL.NS
BBTC,Bombay Burmah Trading Corporation Limited,EQ,03-APR-1996,2,1,INE050A01025,2,BBTC.NS
BCG,Brightcom Group Limited,EQ,08-MAY-2015,2,1,INE425B01027,2,BCG.NS
BCP,B.C. Power Controls Ltd,BE,19-AUG-2019,2,1,INE905P01028,2,BCP.NS
BDL,Bharat Dynamics Limited,EQ,23-MAR-2018,10,1,INE171Z01018,10,BDL.NS
BEARDSELL,Beardsell Limited,EQ,13-JAN-2015,2,1,INE520H01022,2,BEARDSELL.NS
BEDMUTHA,Bedmutha Industries Limited,EQ,14-OCT-2010,10,1,INE844K01012,10,BEDMUTHA.NS
BEL,Bharat Electronics Limited,EQ,19-JUL-2000,1,1,INE263A01024,1,BEL.NS
BEML,BEML Limited,EQ,05-NOV-2003,10,1,INE258A01016,10,BEML.NS
BEPL,Bhansali Engineering Polymers Limited,EQ,21-MAR-2005,1,1,INE922A01025,1,BEPL.NS
BERGEPAINT,Berger Paints (I) Limited,EQ,24-NOV-1999,1,1,INE463A01038,1,BERGEPAINT.NS
BFINVEST,BF Investment Limited,EQ,14-JAN-2011,5,1,INE878K01010,5,BFINVEST.NS
BFUTILITIE,BF Utilities Limited,EQ,03-MAY-2007,5,1,INE243D01012,5,BFUTILITIE.NS
BGRENERGY,BGR Energy Systems Limited,EQ,03-JAN-2008,10,1,INE661I01014,10,BGRENERGY.NS
BHAGERIA,Bhageria Industries Limited,EQ,02-MAR-2016,5,1,INE354C01027,5,BHAGERIA.NS
BHAGYANGR,Bhagyanagar India Limited,EQ,17-MAY-2017,2,1,INE458B01036,2,BHAGYANGR.NS
BHAGYAPROP,Bhagyanagar Properties Limited,EQ,20-JUL-2017,2,1,INE363W01018,2,BHAGYAPROP.NS
BHANDARI,Bhandari Hosiery Exports Limited,EQ,30-JAN-2017,1,1,INE474E01029,1,BHANDARI.NS
BHARATFORG,Bharat Forge Limited,EQ,04-APR-2003,2,1,INE465A01025,2,BHARATFORG.NS
BHARATGEAR,Bharat Gears Limited,BE,03-APR-1996,10,1,INE561C01019,10,BHARATGEAR.NS
BHARATRAS,Bharat Rasayan Limited,EQ,11-OCT-1995,10,1,INE838B01013,10,BHARATRAS.NS
BHARATWIRE,Bharat Wire Ropes Limited,EQ,01-APR-2016,10,1,INE316L01019,10,BHARATWIRE.NS
BHARTIARTL,Bharti Airtel Limited,EQ,15-FEB-2002,5,1,INE397D01024,5,BHARTIARTL.NS
BHEL,Bharat Heavy Electricals Limited,EQ,11-NOV-2003,2,1,INE257A01026,2,BHEL.NS
BIGBLOC,Bigbloc Construction Limited,EQ,02-SEP-2016,10,1,INE412U01017,10,BIGBLOC.NS
BIL,Bhartiya International Limited,EQ,12-APR-2000,10,1,INE828A01016,10,BIL.NS
